(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
106 108 109 (73)
106 107 109 (73)
58 106 109 (73)
3 106 109 (73)
14 106 109 (73)
106 107 108 (73)
58 106 108 (73)
3 106 108 (73)
14 106 108 (73)
58 106 107 (73)
3 106 107 (73)
14 106 107 (73)
3 58 106 (73)
14 58 106 (73)
3 14 106 (74)
2 51 86 (58)
14 51 86 (60)
2 14 86 (66)
107 108 109 (73)
58 108 109 (73)
3 108 109 (73)
14 108 109 (74)
58 107 109 (73)
3 107 109 (73)
14 107 109 (73)
3 58 109 (73)
14 58 109 (73)
3 14 109 (73)
55 66 77 (53)
55 66 68 (53)
55 66 67 (53)
18 55 66 (53)
2 55 66 (53)
14 55 66 (51)
55 68 77 (53)
55 67 77 (53)
18 55 77 (54)
2 55 77 (54)
14 55 77 (51)
55 67 68 (53)
18 55 68 (53)
2 55 68 (53)
14 55 68 (51)
18 55 67 (53)
2 55 67 (53)
14 55 67 (51)
2 18 55 (54)
14 18 55 (51)
2 3 55 (64)
3 14 55 (62)
2 14 55 (77)
8 11 13 (53)
4 8 13 (53)
8 9 13 (53)
7 8 13 (53)
8 12 13 (53)
3 8 13 (53)
2 8 13 (53)
8 13 14 (53)
4 8 11 (53)
8 9 11 (53)
7 8 11 (53)
8 11 12 (53)
3 8 11 (53)
2 8 11 (53)
8 11 14 (53)
4 8 9 (53)
4 7 8 (53)
4 8 12 (53)
3 4 8 (63)
2 4 8 (63)
4 8 14 (53)
7 8 9 (64)
8 9 12 (53)
3 8 9 (64)
2 8 9 (65)
8 9 14 (66)
7 8 12 (53)
3 7 8 (64)
2 7 8 (64)
7 8 14 (64)
3 8 12 (53)
2 8 12 (53)
8 12 14 (53)
2 3 8 (74)
3 8 14 (64)
2 8 14 (70)
14 50 51 (62)
2 14 51 (68)
4 11 13 (53)
9 11 13 (53)
7 11 13 (53)
11 12 13 (53)
3 11 13 (53)
2 11 13 (53)
11 13 14 (53)
4 9 13 (53)
4 7 13 (53)
4 12 13 (53)
3 4 13 (53)
2 4 13 (53)
4 13 14 (53)
7 9 13 (53)
9 12 13 (53)
3 9 13 (53)
2 9 13 (53)
9 13 14 (53)
7 12 13 (53)
3 7 13 (53)
2 7 13 (53)
7 13 14 (53)
3 12 13 (53)
2 12 13 (53)
12 13 14 (53)
2 3 13 (82)
3 13 14 (75)
2 13 14 (79)
28 76 77 (50)
14 76 77 (50)
2 28 76 (64)
14 28 76 (66)
12 14 76 (55)
2 14 76 (79)
2 89 98 (55)
14 89 98 (56)
2 14 98 (87)
14 29 40 (50)
2 14 29 (54)
58 107 108 (73)
3 107 108 (73)
14 107 108 (73)
3 58 108 (73)
14 58 108 (73)
3 14 108 (73)
2 14 50 (66)
2 25 40 (50)
2 14 25 (85)
4 9 11 (53)
4 7 11 (53)
4 11 12 (53)
3 4 11 (53)
2 4 11 (53)
4 11 14 (53)
